Country or Area,Year,Exports of goods and services,Final consumption expenditure,General government final consumption expenditure,Gross capital formation,Gross Domestic Product (GDP),Gross fixed capital formation (including Acquisitions less disposals of valuables),Household consumption expenditure (including Non-profit institutions serving households),Imports of goods and services
Algeria,1988,8417298905,47233474546,11013285315,16519643785,58655419182,15510901598,36220189231,13469697186
Algeria,1989,10236372185,44221412112,9304525136,16866809381,55344476937,15219184655,34916886975,15955206263
Algeria,1990,14435302932,45090281483,10055255648,17826064808,61751375957,15838840295,35035025835,15572358905
Algeria,1991,13315922771,29638017751,6939653327,14390564486,46565003199,11680830121,22698364424,10766885407
Algeria,1992,12167794316,33588972337,8461769988,14596640991,49105553595,12730030014,25127202349,11227240829
Algeria,1993,10783150460,37299867886,9475576801,14352721152,50846930343,13884310371,27824291085,11559450130
Algeria,1994,9749531862,31431928296,7528695479,13302457020,42330711146,11624708109,23903232817,12141445242
Algeria,1995,11158818128,30542890239,7138064181,13236714481,41971488420,11367914170,23404826058,12961479667
Algeria,1996,14245882637,31805127824,7404418517,11734818260,46836290499,11679620193,24400709308,10928753146
Algeria,1997,14475663745,32770992725,7968621556,11181890814,48068457028,11057859143,24802371170,10333259951
Algeria,1998,11079600151,35094159877,8574371590,13131779333,48079007974,12406650248,26519788286,11199866836
Algeria,1999,13661899845,33277789481,8165727716,12724029590,48531031757,11863492817,25112061765,11110078030
Algeria,2000,22998828469,30234809059,7442975010,12840768704,54666896857,11329139294,22791834049,11394592942
Algeria,2001,20040706253,32034196154,8088868309,15079491271,55056733057,12503559645,23945327845,12085932126
Algeria,2002,20107618985,33755565805,8790389595,17544290770,56819210891,13946813025,24965176210,14587148839
Algeria,2003,25957128354,37519515963,10046153513,20590341944,67863851626,16346855852,27473362450,16203134635
Algeria,2004,34178426090,44655726808,11752547333,28384617680,85332517817,20495271691,32903179475,21886254148
Algeria,2005,48714917293,46657770810,11816631046,32668852381,1.03E+11,23085774085,34841139764,24843324417
Algeria,2006,57121819162,50249379359,13144009230,35307669066,1.17E+11,27110111804,37105370129,25651591024
Algeria,2007,63531235749,58488702946,15716052554,46525901831,1.35E+11,35532387390,42772650392,33568752129
Algeria,2008,82034752287,74196166781,22583573335,63866085088,1.71E+11,49987662350,51612593446,49096310473
Algeria,2009,48533798747,73688577593,22153109826,64319663581,1.37E+11,52464619871,51535467767,49331031500
Algeria,2010,61975419204,83097969846,27770789703,66788657989,1.61E+11,58491157944,55327180143,50654743423
Algeria,2011,77581317710,1.04E+11,41338878539,76117398069,2.00E+11,63345775732,62357632168,57376123473
Algeria,2012,77123040533,1.10E+11,42476696191,81863937123,2.09E+11,64388337627,67207417719,59612008449
Algeria,2013,69659422390,1.13E+11,40152871924,91013952656,2.10E+11,71702269417,72696219150,63767462869
Algeria,2014,64611489633,1.20E+11,42314595549,97399924008,2.14E+11,80004602522,77746353321,68262383031
Algeria,2015,38460337407,1.04E+11,35785694778,84285388727,1.66E+11,70137643951,68068872128,60621173996
Algeria,2016,33403117359,1.01E+11,33430925425,81261739742,1.60E+11,68933842314,68035513137,56097084877
Algeria,2017,37933041080,1.05E+11,32234080026,80428092054,1.67E+11,69367833111,72397971519,55603295155
Algeria,2018,44523212821,1.04E+11,30085072711,81856143141,1.74E+11,70351348753,73488065509,56195006667
Andorra,1970,12067123.25,73328649.04,9818349.903,28210330.31,99476786.51,26750433.4,63510296.76,13619285.95
Andorra,1971,14721870.09,83802598.67,11360762.88,29494294.05,113128491.6,27817945.08,72441835.79,14571985.69
Andorra,1972,19142353.37,105543228.2,14243635.01,39194531.01,143506004.4,36949705.34,91299593.21,19863609.26
Andorra,1973,25425894.94,139784322.8,18918558.07,54774098.61,190863792.2,52056858.61,120865764.7,28220358.95
Andorra,1974,31123032.52,175354060.2,24359802.81,75172497.66,236055468.2,68133279.45,150994257.4,43695865.51
Andorra,1975,34468393.75,208788323.3,30353842.01,83855358.7,278514317.2,75931942.52,178434478.3,46540171.05
Andorra,1976,36140855.94,222028619.5,33857510.33,81726356.84,287588366.4,73946653.29,188171111.6,50358534.09
Andorra,1977,42590105.93,246684052,38525717.8,84734811.5,321390136.9,79329103.32,208158336.4,51138775.49
Andorra,1978,54094941.1,296339924.2,48439708.08,94206869.42,389745928.5,91094397.54,247900214,53962952.71
Andorra,1979,71363330.93,401553181.3,67445715.86,122705405.4,520742333.1,115907139.9,334107468,73590491.51
Andorra,1980,80716220.7,446054577.8,76844229.59,137656784.4,564812657.1,128580881.9,369210350.5,97542097.02
Andorra,1981,80145529.95,395526355.8,71569895.11,111760871.6,492189978.5,111452330.1,323956460.7,93992228.8
Andorra,1982,80752378.85,381509341.2,69996202.66,107417321.9,475654368,106619889.8,311513137,92996688.13
Andorra,1983,79131438.78,331839692.2,62868206.49,90137506.12,414836775.5,90446284.98,268971486.9,85843026.79
Andorra,1984,88972160.69,327189636.4,62302281.94,86019333.67,417649689.2,83456322.11,264887353.4,84525492.48
Andorra,1985,91542488.46,343651994.9,66627229.47,91343577.62,438742504.3,90032032.62,277024766.5,87756771.43
Andorra,1986,110982202.4,471791331.4,91425966.59,132517713.1,609881940.1,128474422.3,380365364.9,104594853.1
Andorra,1987,137100505.4,602179899.2,119792054.4,179144462.4,773493497.2,172475166.6,482387846.2,143832021.6
Andorra,1988,157946499.1,702256793.6,139984841.4,231391374.6,912838474.4,220171921.1,562271952.3,177188291.1
Andorra,1989,167111682.9,782174956.8,159389134.5,268505603.5,1006552718,256698759,622785822.3,209179833.3
Andorra,1990,204737844.9,1009866613,211561325.1,349408228.3,1302006184,335306537.2,798305288.1,258916106.7
Andorra,1991,220741003.5,1094778646,236990788.3,364387790.7,1400576915,350402649.6,857787858,276163255.5
Andorra,1992,247836885,1220801274,272611663.6,368457106.6,1531034035,352606223,948189610.4,302996123.9
Andorra,1993,225663896.6,1022086624,233772202.6,273508531.1,1274297409,269802886.7,788314421.6,245187646.4
Andorra,1994,261510898.5,1022803039,228688495.9,278767594.7,1287524766,270661891.8,794114543.9,274672079.2
Andorra,1995,325550310.6,1172350923,262708961,335867352.9,1491495988,326589786.4,909641961.8,342272598
Andorra,1996,356722357.5,1207340949,270839887,344242219.7,1548787643,335884136.4,936501060.7,359517883.2
Andorra,1997,383481257.6,1153524971,254062266.5,337786873.6,1493901088,330620425.1,899462704.1,380892014.2
Andorra,1998,400277481.6,1173606680,258516505.6,366925851.4,1533515782,356952357.4,915090174.9,407294231.9
Andorra,1999,413402745.7,1198497172,263409878.8,400635826,1568801032,387990045,935087293.5,443734712.1
Andorra,2000,409720976.2,1094687530,239518319.9,382137301,1434428602,372102847.7,855169209.8,452117204
Andorra,2001,417060397.7,1134872447,247657104.6,396065160.9,1496899357,387357005.3,887215342.1,451098648.8
Andorra,2002,460232703.4,1305217412,288132180.9,462489516.9,1733195719,453330461.1,1017085231,494743912.7
Andorra,2003,614722923.2,1791776863,402395786.1,659685367.7,2398553103,649974746.6,1389381077,667632051.1
Andorra,2004,746042252.9,2214020438,504043088.5,830398999.2,2935788990,816373131.4,1709977349,854672700
Andorra,2005,813252831.7,2455346190,564267504.9,956761428.6,3255711088,944533514.9,1891078685,969649362
Andorra,2006,894316867.5,2661879034,615088592.3,1082951519,3543069407,1063888279,2046790440,1096078011
Andorra,2007,1043747481,3026070719,711194795,1222794490,4016771107,1199497688,2314875924,1275841582
Andorra,2008,1026877571,3056953430,754334667,1140314913,4007494572,1115544852,2302618763,1216651343
Andorra,2009,844128072.8,2839229723,755475524.8,852973131.8,3660303821,846014151.2,2083754198,876027107
Andorra,2010,870807007.3,2641505686,692335769.7,748378022.4,3355493859,731126792.6,1949169916,905196855.1
Andorra,2011,1016673961,2724606093,711576636.8,708140067.7,3442272768,689203350.5,2013029456,1007147355
Andorra,2012,995447443.7,2515865390,632198977.5,583423326.6,3164644159,586332923.9,1883666412,930091999.6
Andorra,2013,1081754137,2587850073,652436693.1,564978553.3,3281764413,570060337,1935413380,952818350.1
Andorra,2014,1121868329,2646925992,657935864.7,599825413.7,3350604237,595728693.5,1988990129,1018015498
Andorra,2015,945448064.4,2192028157,547690678,534102125.6,2811614488,506497116.3,1644337479,859963857.7
Andorra,2016,974798136.4,2222899840,548343002,539570671.4,2877200509,516751245.1,1674556838,860068138.9
Andorra,2017,1062687276,2325835128,562457523.5,586894677.2,3020852315,563773110.7,1763377605,954564767.3
Andorra,2018,1137156442,2490557657,602878503.1,659794237.2,3238225156,629181491.9,1887679154,1049283180
Angola,1970,1347925248,2853053623,1081250420,931785481.3,3806982080,895632041.2,1771803207,1256347986
Angola,1971,1421669494,3001438847,1135720195,980005721.7,4007445384,941981329.6,1865718652,1322629445
Angola,1972,1455548585,3073625244,1164439091,1006724450,4102154515,967663365.2,1909186153,1357840576
Angola,1973,1778229118,3764191315,1428610927,1232390949,5016276243,1184573964,2335580388,1665024728
Angola,1974,1994583264,4226190442,1616753753,1381417747,5626960654,1327818495,2609436689,1870641880
Angola,1975,1459024380,3099957014,1164217281,1006361687,4147433125,967314675.1,1935739733,1346426022
Angola,1976,1425997554,2972387000,1115953942,969321018.6,3980906823,931711194.7,1856433057,1314497680
Angola,1977,1542925787,3261633625,1243097844,1084971398,4344224828,1042874320,2018535781,1458899037
Angola,1978,1709603276,3663273424,1402615716,1196847229,4845481540,1150409346,2260657708,1630568781
Angola,1979,1906484063,4058724804,1613836276,1316021546,5380155365,1264959680,2444888529,1802534087
Angola,1980,2419938936,5215663457,1770893987,1633221195,7151262407,1569851925,3444769470,2042625229
Angola,1981,2612329487,4971339999,1863468845,1657999034,6693017100,1593668384,3107871154,2396095926
Angola,1982,2275334925,5163540614,2110069196,1880999793,6693017100,1808016672,3053471419,2435902206
Angola,1983,2379245641,5455316288,2134809041,1627026783,6975014062,1563897857,3320507246,2371189902
Angola,1984,2676542466,5517372244,2605664209,1719943733,7393602901,1653209616,2911708035,2422415823
Angola,1985,2997197413,7102068237,2823398633,1621885413,9109025042,1558955976,4278669600,2612126018
Angola,1986,1965669065,7236441878,3059106852,1550929036,8548514005,1495405669,4177335026,2204525974
Angola,1987,3227761294,7378221589,3244879521,1810052858,9843778337,1698784387,4133342068,2572257404
Angola,1988,3489013808,8332717919,3501209436,1543744702,10627491537,1546316869,4831508483,2737984892
Angola,1989,4182346320,9534231138,3574649288,1503299565,12367075841,1390345882,5959581850,2852801183
Angola,1990,5315120546,10004051060,3894352119,1594655903,13661852350,1515184758,6109698940,3251975159
Angola,1991,4045735376,14160073817,8091470753,2022867689,16182941506,2022867689,6068603064,4045735376
Angola,1992,12867260559,18586043029,7863325897,714847808.9,18586043029,714847808.9,10722717132,13582108368
Angola,1993,7259774755,10113617245,5607550156,1502022363,13468133856,3554786259,4506067089,7460044403
Angola,1994,11831446239,9341791703,5558142576,2299689871,13860715824,4230624807,3783649128,10512867984
Angola,1995,5059386029,4925212998,1452655540,1854510410,6642229262,1854510410,3472557458,5196880174
Angola,1996,7217960122,4533912089,2887358564,3027843523,8725773842,3027843523,1646553524,6054814469
Angola,1997,7003306241,7692591932,2191601238,2603740901,10226790656,2603740901,5500990694,7073871097
Angola,1998,4842334961,6986440565,4551053734,3033461303,8617787794,3033461303,2435386831,6243587257
Angola,1999,7087724263,6485493949,1566456993,2267413589,8227190091,2267413589,4919036955,7613441710
Angola,2000,8237522866,8991937378,4166370116,1429481221,12207354573,1429481221,4825567263,6451586892
Angola,2001,9008050472,10294914825,4130631447,1601112566,11948601236,1601112566,6164283378,8955476626
Angola,2002,8725779845,9268942900,2924222276,4661062180,15285592487,4635608591,6344720624,7370215411
Angola,2003,9676099631,11543957955,3892834744,5424166531,17812704626,5285880624,7651123211,8831519492
Angola,2004,13749835598,13171619029,3370785340,7276096317,23552045850,7208752431,9800833689,10645433273
Angola,2005,24225686022,17739298144,5926079469,10187915840,36970878079,10275043821,11813218675,15181998981
Angola,2006,33245117516,23251235873,8036151465,12205182667,52381025105,11496406177,15215084408,16320510950
Angola,2007,44319670865,30360580216,10140400392,16793426886,65266415707,16418320031,20220179824,26207262260
Angola,2008,64168422876,40383014110,14887432561,27273497536,88538664888,25870974603,25495581548,43286269634
Angola,2009,41310610565,43668274035,13990140359,30106143945,70307193221,30086204746,29678133675,44777835324
Angola,2010,51572807247,44279724474,14281395253,23629198410,83799478930,23662036410,29998329221,35682251201
Angola,2011,67822781239,58374657169,20385822162,29539717864,1.12E+11,29504005840,37988835007,43947410303
Angola,2012,71632968045,68191066483,22848013145,34148611669,1.28E+11,34165590141,45343053338,45919732759
Angola,2013,69376284212,80897795071,29559342743,35740025131,1.37E+11,35761254271,51338452328,49304212516
Angola,2014,65126102298,90986183937,26192725200,40071521219,1.46E+11,40039975708,64793458737,50471632126
Angola,2015,34572954454,80379085113,19093907179,39741119659,1.16E+11,32777768233,61285177934,38499511713
Angola,2016,28440555958,70692107694,14036677343,27520555499,1.01E+11,26507804901,56655430351,25529389142
Angola,2017,35420926144,85631194035,15797724379,29468859054,1.22E+11,28384411299,69833469656,28397120606
Angola,2018,41524415169,69202880677,9566251608,21674469422,1.06E+11,21674468553,59636629069,26500005700
Anguilla,1970,1769953.222,2043926.241,500131.7502,1786474.833,3902379.57,1786474.833,1543794.49,1982158.508
Anguilla,1971,2082183.858,2403713.488,588221.2213,2100613.21,4589878.457,2100613.21,1815492.267,2331072.254
Anguilla,1972,2458004.299,2834206.223,693782.3632,2481486.61,5416747.423,2481486.61,2140423.86,2751535.271
Anguilla,1973,2785083.931,3205183.421,784029.6659,2810209.756,6129013.437,2810209.756,2421154.265,3117660.801
Anguilla,1974,3057374.3,3536473.011,865591.2464,3092436.089,6749689.874,3092436.089,2670881.765,3427430.801
Anguilla,1975,3339167.164,3869957.657,946520.3907,3365145.185,7371447.467,3365145.185,2923437.267,3740090.6
Anguilla,1976,3205367.534,3694385.112,904471.4041,3225995.752,7058818.175,3225995.752,2789913.708,3582735.877
Anguilla,1977,3585263.333,4109524.074,1007525.185,3632090,7889455.185,3632090,3101998.889,4011372.963
Anguilla,1978,4165317.407,4747907.037,1157207.407,4191908.519,9103205.185,4191908.519,3590699.63,4662610.37
Anguilla,1979,4682150.37,5555793.704,1363912.222,4794230.37,10504178.52,4794230.37,4191881.481,5287620.741
Anguilla,1980,5492644.074,6427701.852,1566396.667,5434115.556,12122528.89,5434115.556,4861305.185,6125484.815
Anguilla,1981,6429538.889,7207766.667,1773500.741,6428322.593,13988465.56,6428322.593,5434265.926,7112450.741
Anguilla,1982,7363446.296,8207980,2026915.556,7702450.37,16142467.41,7702450.37,6181064.444,8279655.185
Anguilla,1983,8815489.259,9779281.481,2313718.519,8589139.259,18629155.93,8589139.259,7465562.963,9890760.37
Anguilla,1984,8361045.185,12232840,3102549.259,9429688.519,21625990.37,9429688.519,9130290.741,9933333.333
Anguilla,1985,13288023.33,14561568.52,3419518.519,11055011.48,27126450.37,11055011.48,11142050,13966666.67
Anguilla,1986,17262946.3,15444207.78,4019449.259,18091121.85,35064532.59,18091121.85,11424758.52,18381481.48
Anguilla,1987,19189283.7,20752247.78,5224978.889,24719081.48,43734775.19,24719081.48,15527268.89,23407407.41
Anguilla,1988,30573196.67,33246112.22,6425276.296,20834127.41,54742893.33,20834127.41,26820835.93,33996296.3
Anguilla,1989,41820043.33,36464232.22,7694461.481,27741628.89,68125906.3,27741628.89,28769770.74,43518518.52
Anguilla,1990,41182870,43651765.93,8576481.852,29118470,75601760.37,29118470,35075284.07,43414814.81
Anguilla,1991,43372226.67,46605724.07,10015269.26,25509661.11,77720090.74,25509661.11,36590454.81,44814814.81
Anguilla,1992,45643081.85,61201797.04,10960945.19,28029906.67,84450415.93,28029906.67,50240851.85,55785185.19
Anguilla,1993,54544983.33,66472366.3,12050935.93,23578588.89,92101083.7,23578588.89,54421430.37,60051851.85
Anguilla,1994,63117184.44,67927616.67,14222197.04,25712522.96,102769857.8,25712522.96,53705419.63,63837037.04
