Country or Area,Year,"Agriculture, hunting, forestry, fishing (ISIC A-B)",Construction (ISIC F),Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and communication (ISIC I)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)"
Albania,1987,916600514.7,254914827.6,432850606,871576509.7,181171357,2471688521,43841800.71,203583511
Albania,1988,899728464.3,263741825,453873784.2,914413487,198143461.2,2546642928,47926818.79,222688872
Albania,1989,1102604964,357300814.2,499703014.2,1005124305,244331880.3,3042908865,59296771.65,274250129.2
Albania,1990,893988546.4,206118524.5,428496505.2,863186058.1,123686414.6,2255959726,29858302.3,139121880.7
Albania,1991,702686379.1,153151237,274543173.6,554025977.1,108638687.7,1666895365,26241145.75,122151938.5
Albania,1992,851663685.6,167658976.2,138315224.6,276548154.6,116625840.9,1571491220,28586992.19,130407570.6
Albania,1993,962497068.9,223126709.5,125767201.1,254823049.4,137636264.4,1766559894,32693800.83,155783000.7
Albania,1994,1064676173,262068123.5,125719468.9,255045177.4,157674605.1,1954711049,38152615.05,177094354.4
Albania,1995,1353006500,356577942.3,155988530.3,303497948.4,203110550.6,2491486764,51952715.27,223341107.5
Albania,1996,1165012172,227798422.4,155433263.2,328096576.3,532941766.5,2993497781,114349550.8,625299293.3
Albania,1997,701730328,195239489.2,101965734.3,207636029.8,400164094,2045982752,102111606.3,439101204.8
Albania,1998,735433728.2,182956418.8,120689616.3,209136518.7,483100180.5,2251522121,143265871,497629404.3
Albania,1999,835020546.7,276568162.4,146019874.3,256181697.1,627139202,2876608289,198712207.8,682986473.2
Albania,2000,854994368.5,395296603.7,150589639.2,281143315.4,694106173.1,3076532723,196444659.9,654547602.7
Albania,2001,892039491.1,551501881,160961687.4,302033004.4,820454111.9,3510427047,277606873.6,666791685.4
Albania,2002,959387052,708470810.3,177133979.1,298012800.5,919826699.3,3872708250,300654803.2,686356084.3
Albania,2003,1222309206,878668369.6,229365194.1,459173139.2,1169697425,4891041595,357076339.9,804117114.6
Albania,2004,1473979499,1124426141,299825868.5,645825933.7,1530010619,6300235705,523448464.5,1002545049
Albania,2005,1517435147,1235173366,356374256.6,784425326,1779029197,7044081823,616572334,1111446453
Albania,2006,1575352038,1390196156,436350500.6,861239377.2,1996188163,7698662944,692610050.6,1183077159
Albania,2007,1831547553,1703471495,565560820.2,1002193964,2441216687,9303537708,899254070.1,1425853939
Albania,2008,2168844594,2037763005,643779237.7,1203316881,2996891910,11167790304,1060565779,1700408136
Albania,2009,2022753109,1801621084,626006894,1138813040,2887506644,10421308345,994083408.4,1576531060
Albania,2010,2141585619,1541795023,650271788,1432486139,2852193299,10366763682,883524369.6,1515179233
Albania,2011,2349589254,1639114158,729866710.7,1517139921,3121961575,11210875731,963846252.8,1619224570
Albania,2012,2312028282,1403089465,568487378.2,1420420846,3079488215,10673848869,904973759.7,1553848302
Albania,2013,2499701757,1314275450,646455585.5,1632105836,3318827935,11145194748,760640551.6,1619643218
Albania,2014,2644345490,1139257957,704512442.1,1705985345,3589099093,11545800489,767259061.6,1699853543
Albania,2015,2252359355,1014298531,645808389.5,1463913332,3152856863,10000934935,686048391.7,1431458461
Albania,2016,2354476420,1055973664,674249719.3,1451747542,3285235776,10401112764,729032565.3,1524646796
Albania,2017,2476629502,1194364053,800089925.7,1459508579,3748245930,11378084577,817625439.9,1681711073
Albania,2018,2770067214,1346953567,929937632.6,1861114804,4307644069,13192434797,944259830.5,1962395313
Algeria,1970,683788307.3,363144476,608789885.6,1406309207,1689381441,5323633931,255414671.5,925595827.5
Algeria,1971,740679496.9,432569405.5,630168968.6,1234119718,1919922181,5653395110,276194838.9,1049909470
Algeria,1972,877592427.9,621134921.8,807298644.4,2020130649,2345015404,7431971561,329572630.5,1238525528
Algeria,1973,957231511.3,814791285.1,1076165800,3030075045,2769319011,9441398112,445224107.9,1424757152
Algeria,1974,1137400202,1040255332,1110944454,6235672504,3235771152,13506944419,600612942.3,1257232286
Algeria,1975,1748652508,1351080446,1296265916,5910834763,4440967034,15656795996,712898934.2,1492362310
Algeria,1976,1774811335,1655488366,1592473244,7088189291,4508454766,17675525574,777136770.1,1871445046
Algeria,1977,1795192537,1946076309,1798582841,8417318822,5488429290,20981697927,992694245,2341986725
Algeria,1978,2362276017,2712422505,2387050633,9579493643,7570734050,26962177701,1198580803,3538670683
Algeria,1979,2827887802,3372009523,3294995776,13449014563,7955864541,33273187753,1474327941,4194083383
Algeria,1980,3402335516,4306718391,3865159333,18423629877,9283944290,42252197741,1897522894,4938046773
Algeria,1981,3804724130,4654868449,4040029901,18643696740,10096990987,44264573122,1817599935,5246692882
Algeria,1982,3543592643,5308298540,4319597411,18112759221,10652212230,45094842770,1831352736,5646627401
Algeria,1983,3503697628,5956842729,4907804395,18990384530,12023540668,48702201863,2207208997,6020527311
Algeria,1984,3707466303,6760124134,6230396503,20506122394,12312872879,52827902259,2544334002,6996982547
Algeria,1985,4839481907,7363605738,6738734042,21432962231,13505823750,57866207279,2747012956,7977320698
Algeria,1986,5645861026,9424342796,8696839398,18947566529,1891610734,48517385248,3271298544,9336705618
Algeria,1987,6621903443,8783940552,8194108876,19399176925,16028286455,62882780836,3215104831,8834368629
Algeria,1988,6624848951,7051527804,7482707368,17716467503,14494271540,57218339405,2938897562,8392326045
Algeria,1989,6856036315,6591675825,5908156519,16915852534,11979039671,53056747367,2651087681,8063055342
Algeria,1990,7074612563,6384069644,7065837057,22161256038,12677585505,59146989334,2878310971,7971154612
Algeria,1991,4774869579,4250972214,5095171687,18660901715,7753432654,43698809178,2139771717,6118861299
Algeria,1992,5941430251,4677997392,5388304531,17898944261,10300901416,47775198763,2469413117,6486512327
Algeria,1993,5673542544,5204283777,5187863527,16916154428,11053197829,49329509093,2635999981,7846330534
Algeria,1994,4196229340,4329367993,4270757455,14568674110,8688475322,40716821814,2020224264,6913850785
Algeria,1995,4166416689,4010706144,3697157510,15230978757,8252586263,40145600305,1982907592,6502004861
Algeria,1996,5127063267,3976081430,3460092904,18195509070,8893965886,45196699569,2575126436,6428953479
Algeria,1997,4249036439,4222187348,3368896781,19050275292,8429559884,45593799311,2987865278,6654875071
Algeria,1998,5587245125,4518504793,3798146618,15938550376,9171804622,45670757298,3328519262,7126133120
Algeria,1999,5458106319,4074545316,3505527079,18072688459,8694421563,46516833438,3397446888,6819624892
Algeria,2000,4647015416,3880508899,3276999541,25963413192,8233100410,52586032831,3471812532,6390182381
Algeria,2001,5392216075,4150841588,3432252902,23312214203,9043755860,52840329051,4135573578,6805727746
Algeria,2002,5290017205,4642702659,3452766594,23195888656,9280105318,53814987428,4329678110,7076595480
Algeria,2003,6657818547,5181400989,3720883688,29310172915,10437659551,64523955205,5046208749,7890694454
Algeria,2004,8055792109,6365111102,4368154143,38263754894,12250755095,81342688566,7113034455,9294240911
Algeria,2005,7937297023,6897507690,4601340228,52270173806,13079457626,99055297786,8802694186,10068167455
Algeria,2006,8827458433,8397790830,4932646838,60513130603,15117283680,1.14E+11,10051926180,11061346518
Algeria,2007,10218617411,10574330582,5505289469,67272435054,19548902039,1.33E+11,11666226855,13628121195
Algeria,2008,11263264104,13470903025,6330887377,86770869592,27288627730,1.69E+11,12857006363,16943268959
Algeria,2009,12820127465,13765870493,6420143156,51956688687,26523520401,1.34E+11,11909776795,17491633227
Algeria,2010,13648522725,16052936944,6729456789,65349335626,31840177138,1.58E+11,12552198277,18875112663
Algeria,2011,16222244032,17310164327,7321936163,81951905204,44545528163,1.96E+11,14726883945,21666548254
Algeria,2012,18335919885,18200064357,7534709160,81845206004,46037514690,2.03E+11,15410160716,23230613220
Algeria,2013,20663212742,19772523446,7776085063,73050980697,44372659943,2.02E+11,18433722953,25719139861
Algeria,2014,21993348927,21472067664,8340052419,68992160166,46593585680,2.06E+11,19241938845,28004047150
Algeria,2015,19218119516,18470290256,7336274552,40827703648,39440296642,1.59E+11,16539639420,24551244512
Algeria,2016,19556286800,18216777551,7056637058,37316205808,38845768211,1.54E+11,16450562423,23589434019
Algeria,2017,19996752964,19080313968,7346831009,43532204000,39077968053,1.61E+11,17708809394,21496216573
Algeria,2018,20815001942,19332933322,7426638997,49472617003,37210386059,1.68E+11,18353464360,22658153254
Andorra,1970,395273.712,9729537.81,3639460.806,5491184.86,30651852.32,82987836.47,3066054.243,33653933.52
Andorra,1971,449521.4711,11064821.48,4138923.402,6244756.243,34858543.2,94376889.38,3486824.824,38272422.16
Andorra,1972,570238.1013,14036015.64,5250345.042,7921644.845,44218741.57,119719228.2,4423088.046,48549499.97
Andorra,1973,758431.7694,18667851.34,6983015.658,10535908.58,58810469.83,159226681.9,5882701.987,64571318.38
Andorra,1974,937967.4908,23087609.62,8636303.454,13030455.42,72735185.69,196926871.2,7275694.496,79859958.44
Andorra,1975,1106632.119,27240659.7,10189613.19,15373973.36,85819787.01,232348744.9,8584422.309,94223270.4
Andorra,1976,1142750.907,28128975.7,10521739.69,15874904.97,88617535.72,239921852.8,8863995.581,97293689.94
Andorra,1977,1277192.007,31434967.09,11758755.42,17741339.9,99029393.95,268118723.7,9905469.076,108730361.7
Andorra,1978,1548881.066,38118647.13,14259694.02,21515242.3,120084462.7,325136944.1,12012234.61,131857476.2
Andorra,1979,2068684.264,50928217.6,19050566.16,28744391.75,160453876.2,434416975.6,16051587.71,176170218.1
Andorra,1980,2243728.33,55245945.57,20663154.72,31175185.28,174057004.8,471201583,17409399.86,191070319.1
Andorra,1981,1956308.707,48147951.42,18008573.11,27169303.01,151678250.3,410638522,15169277.27,166517431.3
Andorra,1982,1891170.101,46522316.19,17405372.26,26261266.89,146534249.3,396795382.6,14657342.59,160929037.5
Andorra,1983,1648837.148,40561141.64,15177663.64,22903182.51,127776433.2,346029116.7,12785506.49,140354015.7
Andorra,1984,1655992.007,40836291.69,15271405.34,23044659.2,128721165.5,348411053.4,12881651.09,141271293.9
Andorra,1985,1742800.616,42944495.77,16052322.29,24209515.13,135299265.8,366103678.9,13521057.47,148386544.1
Andorra,1986,2430755.984,59694742.83,22328714.9,33681933.04,187954882.9,508974096.2,18786302.2,206425479.3
Andorra,1987,3080117.545,75587547.08,28318801.08,42743780.73,237897110.1,644870754.5,23816527.57,261745671.5
Andorra,1988,3622445.529,89113115.01,33373421.02,50394650.19,280928991.4,761080618.6,28159132.83,308862283.6
Andorra,1989,3942505.29,98418498.49,36694153.36,55371981.09,311166861.8,840113666.1,31159157.33,340054662.1
Andorra,1990,5219017.968,128121426.7,47779923.63,71858919.64,402657996.2,1087877747,39959265.96,440061120.9
Andorra,1991,5675674.478,137075493.8,51448306.84,77683309.21,430251779.6,1169591981,43040171.05,475865552.7
Andorra,1992,6069684.961,148415055.2,56053681.4,84864053.93,466137425.9,1270061839,47047512.4,517528106.9
Andorra,1993,4969197.195,123760510,46260208.52,70004534.77,393388375.6,1062700935,39672704.24,430905612.9
Andorra,1994,4711538.188,126894243.9,46262541.24,69573152.16,406961768.4,1080372881,40555036.73,431677141.5
Andorra,1995,6661714.386,151430959.9,56537500.83,83655006.75,462143383.4,1252879468,43792804.81,505195598.4
Andorra,1996,6616548.339,147458497.9,57175268.63,88028029.67,459801503.4,1289790478,47902791.02,539983107.3
Andorra,1997,5265540.357,137846825.8,53782876.31,82537045.43,434388727.6,1197925252,45898416.34,491988696.9
Andorra,1998,5482588.902,150337549.2,53300218.71,80461321.12,506005017.9,1312654512,50838829.56,519529205.5
Andorra,1999,3856845.09,165881123.4,53457950.02,77717163.01,553683679.8,1356853117,52281387.15,503432918.7
Andorra,2000,6992808.34,133277951.8,52165060.37,68877780.17,675326549.9,1291274115,58024646.81,348774377.5
Andorra,2001,6872421.723,149833111.1,50657264.81,67945700.71,680906658.6,1359388283,67050854.13,386779536.6
Andorra,2002,7039657.679,179737142.2,59093597.02,78810285.3,763087597.9,1571067132,81708967.88,460683480.5
Andorra,2003,10654216.68,255678627.9,87039532.9,113708933.3,1050117519,2193312711,115401870.3,647751544.6
Andorra,2004,12987899.9,320500642.6,107988303.4,141575558.9,1289713360,2689538284,144493490.5,780267332.2
Andorra,2005,13194548.08,366002586.7,112508083.4,149082226.5,1468039596,2976446302,159926379.1,820200965
Andorra,2006,13548421.49,409965198.5,122149055.6,160247718.7,1646710274,3261406130,169242365.2,861692151.8
Andorra,2007,16040786.3,440273049.2,137359497.7,180787326.1,1886557972,3673175822,197361892.9,952154796.3
Andorra,2008,17724400.51,432739041.2,142322541.6,187805404.1,1882975858,3694292404,202043517.5,971004182.6
Andorra,2009,15920130.18,360245040.1,126485851.1,166300068.4,1789931077,3379679714,183039821.4,864243576.8
Andorra,2010,16767213.62,293532192.2,124363456.4,158003837.6,1625082052,3087895620,183008971.4,811501352.8
Andorra,2011,18405370.55,266057694.1,124820107.4,160880176.3,1672789618,3131401333,193631726.9,819636747
Andorra,2012,19375721.41,206605835.8,106720651.2,142272787.3,1588539335,2852368304,169601805.5,725972819.2
Andorra,2013,18946857.91,184675435.6,105741258.8,151787301.7,1709359762,2957236735,170070289.4,722397088.3
Andorra,2014,16623973.77,175739151.3,106443848,156222898,1778128362,3013556287,176641330.3,710200571.5
Andorra,2015,13220076,146574265.5,91242923.88,128496477,1479561627,2537844238,157542935.9,612448856.5
Andorra,2016,14158741.85,150326017,92297298.43,132926250.6,1481712333,2576271572,168975734.8,628172492.9
Andorra,2017,14606777.61,161702563.6,94543017.66,138521505.9,1551266894,2709935690,174377586.4,669460362
Andorra,2018,15606390.61,170447021.5,103437335,148696049,1678194735,2909129137,186183651.3,710001290
Angola,1970,540872674.4,176963037,343789340.9,1319614084,1069561437,3747678695,166966167.1,473701302.8
Angola,1971,569354435,186277480.3,362160832.9,1388906255,1125827615,3945023511,175870880.6,498786844.9
Angola,1972,582518747.1,190788666.5,370848479.2,1421347749,1152723526,4038175417,180133801.2,510662923.6
Angola,1973,712172801.4,233366378.9,453337147.4,1737636549,1410316248,4937961690,220163351.5,624306364.9
Angola,1974,800114463.1,261423293.9,507409624.6,1948992088,1582657547,5539190816,246333966.8,699669465.7
Angola,1975,589460797.8,192631401.3,374104533.9,1440460908,1162885837,4083129075,181757640.6,515932486.8
Angola,1976,565589757.7,185024737.7,361096923.9,1378742851,1118106567,3918919358,175266567.4,496188881.6
Angola,1977,615350457.9,202623507.6,393413346.5,1503194589,1222276065,4276036125,191327582.1,541263921.4
Angola,1978,687180476.6,225722444.7,437172628.5,1676331279,1365777398,4769454873,212129350.2,602313921.4
Angola,1979,770954890,248268189.7,479813724.2,1862620807,1516340875,5296611799,232507116.1,665919921.1
Angola,1980,1014012454,331677749.2,646010425.2,2517596627,1973782532,7043730320,315067026.5,891593936.8
Angola,1981,949206190.3,312152677.3,624029510.7,2285425456,1895927061,6586568397,301454325.2,842402690.7
Angola,1982,933739752,317664319.1,601196664.2,2305300779,1899496454,6583770603,295275630.1,832293669.4
Angola,1983,995148064.7,322904525.7,617540179.8,2410836426,1983794532,6865790233,296184644.7,856922043.6
Angola,1984,1114083321,324952353.1,620908001.9,2568716375,2082827589,7284787713,298702620.5,895505454.9
Angola,1985,1223243636,433188695.8,875379985.3,3473137386,2248385928,8994430670,439663466.8,1176811555
Angola,1986,1213442787,409728745.2,921013807.7,2466576797,2732042352,8375469303,427024363.3,1126654265
Angola,1987,1259564433,507737241.8,716304652.7,3536687696,2819939565,9662529330,388840958.6,1149759436
Angola,1988,1684371409,429951313.6,872453035,3737316859,3055115616,10496311137,363429707.9,1226126238
Angola,1989,2358723100,398597463.1,756794134,4407012036,3316456832,12243301551,372033167.3,1390478952
Angola,1990,2442096845,399262678,680915158.1,5161677482,3668533518,13562957166,435583474.8,1455803169
Angola,1991,3912226063,466065934.2,1015479615,5602537250,3659940245,16049432431,485182017,1923480922
Angola,1992,2661953254,1000217028,735609348.6,7880016690,4294426999,17892771277,414045363.7,1642111941
Angola,1993,1556399938,604461138.6,761451045.6,6292095476,2877254115,13126156108,361731725.3,1434213716
Angola,1994,921182801.2,476089333,685060012.4,8807652661,1765170151,13616771714,331785177.2,1314891590
Angola,1995,483150368.7,228758883.3,265031433.5,4184401391,884419162.8,6546953494,154165857.4,612057830.9
Angola,1996,613149457.6,270611245.2,300668717.5,5647274755,1168100459,8559392642,173391356.7,686865368.5
Angola,1997,922279084.2,414441867,449465123.3,5802186138,1767343199,9993302482,219262091.2,867790103.9
Angola,1998,1112625207,525968279.5,539454645.6,4238090560,1464464994,8428978838,217943212.5,869886585.9
Angola,1999,517463483.4,253461280.3,264960468.8,5728991547,821630095.9,8120822760,161959010.7,637317341.9
Angola,2000,691562777.4,333196624.1,352772924.6,8471078041,1396373908,12047148763,233454722.6,921482690.5
Angola,2001,974565934.2,431847217.5,462762725.7,7320792358,1742458241,11687032024,238953821.7,978414451.2
Angola,2002,892609812.8,826304014.6,559731747.9,7745213729,3745435635,15258525600,429723354.9,1619239054
Angola,2003,1104099923,959744123.9,712475148.2,8501829799,4637270110,17901477758,541686743.8,2156847059
Angola,2004,1472210379,1286960945,1102692818,11579512528,5983668012,23841344048,627811901.9,2891180283
Angola,2005,1870876565,2077536316,1446628304,20253624902,7967381405,37414871061,1094424304,4151027570
Angola,2006,2719245779,3591382249,2209968430,26846881098,11246575957,52620646396,1653528942,6563032372
Angola,2007,3421447173,4864076591,3466475980,35525090477,11710049579,66400546646,2207274360,8672608466
Angola,2008,4254583294,5808747595,3382548902,47540065916,15631364230,88005982188,3470319726,11300901428
Angola,2009,4655177818,7108256842,4109629970,23866544677,17865352910,70073946938,3808877931,12769736760
Angola,2010,5179053428,7567788441,4194167642,36316686666,17257490313,84164635743,3735229797,14108387098
Angola,2011,6534871905,9018258627,5044697548,53613639880,20470489372,1.13E+11,5311858800,17900424420
Angola,2012,7772338145,13581581198,6089922887,59303857467,23933503285,1.31E+11,5838181559,20943602495
Angola,2013,8896386016,16220038253,7076055458,56732261739,26886649076,1.40E+11,6538569653,25065993847
Angola,2014,10996980606,18286201127,7432848476,49037669632,29422606392,1.47E+11,7182479759,31608506009
Angola,2015,10599805548,14972893808,6955877929,33750696052,25863585837,1.16E+11,6170380456,24505733721
Angola,2016,9941654232,13924011941,6959721285,29198796038,22123778065,1.01E+11,4702004866,20683197907
Angola,2017,12233141927,16671444070,8196934648,34825687908,25159300845,1.21E+11,5005489909,26943530780
Angola,2018,10226882803,14228573568,6912179636,30513263801,22853162474,1.05E+11,4962893432,22453493594
Anguilla,1970,179046.7593,445704.6262,91094.72711,180854.7073,1044039.604,3391510.445,393653.4913,1148211.257
Anguilla,1971,210684.7282,524055.4932,107145.49,212734.244,1227924.183,3989008.374,462981.8562,1350627.87
Anguilla,1972,248395.8159,619006.3172,126445.456,251044.7954,1448293.532,4706869.816,546302.2093,1593827.667
Anguilla,1973,280283.59,701190.5444,142954.395,283948.8256,1636823.969,5324320.948,618046.1993,1804027.82
Anguilla,1974,309613.2699,771646.2067,157451.7325,312988.4358,1807132.005,5866518.056,680832.8146,1984305.811
Anguilla,1975,339433.7793,839507.5574,172330.9605,341515.0811,1975529.649,6409783.255,744098.1198,2169698.608
Anguilla,1976,324737.6263,804639.3348,164797.4171,327303.5325,1888059.842,6134742.391,711847.1573,2078154.133
Anguilla,1977,360012.2222,905522.2222,184150,365545.1852,2103300,6849983.704,795057.037,2320547.037
Anguilla,1978,410541.8519,1047315.556,211449.6296,420945.9259,2416931.111,7897104.074,917286.6667,2684082.963
Anguilla,1979,489192.2222,1196568.519,245191.8519,489300,2847735.926,9153172.222,1061085.185,3069290
Anguilla,1980,568900.7407,1354115.926,286489.2593,559124.4444,3264686.667,10564583.7,1228207.037,3589548.889
Anguilla,1981,640555.9259,1601847.407,324352.2222,651318.1481,3705050,12125548.52,1403799.259,4122978.148
Anguilla,1982,706550,1916178.519,376378.8889,745138.5185,4232578.148,13947529.63,1621063.704,4726020.37
Anguilla,1983,790460,2168680.37,422172.963,852880.3704,4844290.741,16092257.41,1876294.815,5559650.741
Anguilla,1984,1166377.037,2340711.852,517157.4074,1044130.741,6468632.593,19263634.81,2211626.667,6032155.926
Anguilla,1985,1321580.741,2730187.778,680470.3704,1188930.741,7061528.148,23653756.67,2789107.037,8562422.593
Anguilla,1986,1406237.037,4507894.815,734908.1481,1709495.556,8508435.926,29578032.22,3350204.815,10095764.07
Anguilla,1987,1472080.741,6108216.667,1047924.444,1931127.778,10884952.96,37176253.33,4406870.741,12373004.07
Anguilla,1988,1956503.704,5745734.074,1061533.704,2402735.556,13643110,47231665.19,5594596.296,17888985.56
