Country or Area,Year,Female,Male
Kuwait,2005,91,94.4
Kyrgyzstan,1999,98.1,99.3
Lao PDR,1995,47.9,73.5
Lao PDR,2001,60.9,77
Latvia,1989,99.2,99.8
Latvia,2000,99.7,99.8
Lesotho,2001,90.3,73.7
Liberia,1994,29.7,52
Liberia,2004,45.7,58.3
Libya,1994,61,86.9
Libya,2004,74.8,92.8
Lithuania,1989,97.8,99.2
Lithuania,2001,99.6,99.6
Macau SAR,2001,87.8,95.3
Macedonia,1994,90.9,97.2
Macedonia,2002,94.1,98.2
Madagascar,2000,65.3,76.5
Malawi,1987,33.5,65.3
Malawi,1998,54,74.9
Malaysia,1991,77.3,88.6
Malaysia,2000,85.4,92
Maldives,1985,92.4,92.1
Maldives,1990,96.1,95.9
Maldives,1995,96.4,96.2
Maldives,2000,96.4,96.2
Mali,1998,11.9,26.7
Mali,2003,15.9,32.7
Malta,1995,89.2,86.4
Mauritania,2000,43.4,59.5
Mauritius,1990,74.7,85.1
Mauritius,2000,80.5,88.2
Mexico,1990,85,90.3
Mexico,2000,88.7,92.6
Mexico,2002,88.7,92
Mexico,2004,89.6,92.4
Mexico,2005,90.2,93.2
Mongolia,2000,97.5,98
Morocco,1994,28.7,55.2
Morocco,2004,39.6,65.7
Mozambique,1997,25,54.8
Myanmar,2000,86.4,93.9
Namibia,1991,74,77.8
Namibia,2001,83.5,86.8
Nepal,1991,17.4,49.2
Nepal,2001,34.9,62.7
Netherlands Antilles,1992,95,95.2
Netherlands Antilles,2004,96,96.1
Nicaragua,2001,76.6,76.8
Niger,2005,15.1,42.9
Nigeria,1991,43.7,67.7
Nigeria,2004,60.1,78.2
Oman,2003,73.5,86.9
Pakistan,1998,29,55.3
Pakistan,2005,35.4,64.1
"Palestinian Territory, Occupied",1997,79.7,92.2
"Palestinian Territory, Occupied",2004,88,96.7
Panama,1990,88.2,89.3
Panama,2000,91.2,92.5
Papua New Guinea,2000,50.9,63.4
Paraguay,1992,88.6,92
Paraguay,2004,92.7,94.3
Peru,1993,81.7,92.9
Peru,2004,82.1,93.5
Peru,2005,82.5,93.7
Philippines,1990,93.2,94
Philippines,2000,92.7,92.5
Philippines,2003,93.6,91.6
Portugal,1991,84.7,91.6
Portugal,2004,92,95.8
Qatar,1986,72.5,76.8
Qatar,1997,80.9,84.2
Qatar,2004,88.6,89.1
Republic of Moldova,1989,94.4,98.6
Republic of Moldova,2004,98.6,99.6
Romania,1992,95,98.5
Romania,2002,96.3,98.4
Russian Federation,1989,96.8,99.5
Russian Federation,2002,99.2,99.7
Rwanda,2000,59.8,71.4
Samoa,1994,97.6,98.5
Samoa,2004,98.3,98.9
Sao Tome and Principe,1991,61.9,85.2
Sao Tome and Principe,2001,77.9,92.2
Saudi Arabia,1992,57.3,80
Saudi Arabia,2000,69.3,87.1
Saudi Arabia,2004,76.3,87.5
Senegal,1988,17.9,36.9
Senegal,2002,29.2,51.1
Serbia and Montenegro,1991,87.8,97
Serbia and Montenegro,2002,94.1,98.9
Seychelles,1987,85.5,82.9
Seychelles,1994,88.6,87
Seychelles,2002,92.3,91.4
Sierra Leone,2004,24.2,46.7
Singapore,1990,83,95.1
Slovenia,1991,99.5,99.6
Slovenia,2004,99.6,99.7
South Africa,1996,80.9,84.1
Spain,1991,95.1,98
Sri Lanka,2001,89.1,92.3
Sudan,2000,51.8,71.1
Suriname,2004,87.2,92
Swaziland,1986,65.2,69.7
Swaziland,2000,78.3,80.9
Syria,2002,74.2,91
Syria,2004,73.6,87.8
Tajikistan,1989,96.6,98.8
Tajikistan,2000,99.2,99.7
Tanzania,1988,48.1,71.4
Tanzania,2002,62.2,77.5
Thailand,2000,90.5,94.9
Togo,2000,38.5,68.7
Tonga,1996,99,98.8
Trinidad and Tobago,1994,96.1,98.2
Trinidad and Tobago,2004,97.8,98.9
Tunisia,2004,65.3,83.4
Turkey,1985,64.2,87.6
Turkey,1990,68.5,89.8
Turkey,2004,79.6,95.3
Turkmenistan,1995,98.3,99.3
Uganda,1991,44.8,68.2
Uganda,2002,57.7,76.8
Ukraine,2001,99.2,99.7
United Arab Emirates,1994,79,79.7
United Arab Emirates,2004,87.8,89
Uruguay,1985,95.9,94.8
Uruguay,1996,97.3,96.2
Venezuela,1990,89,90.7
Venezuela,2001,92.7,93.3
Vietnam,1989,82.8,93
Vietnam,1999,86.9,93.9
Yemen,1994,17.1,56.7
Yemen,2004,34.7,73.1
Zambia,1990,57.4,73
Zambia,1999,59.8,76.3
Zimbabwe,1992,78.5,88.9
Zimbabwe,2004,86.2,92.7
